CellCDmT,iTALK,CellPhoneDB,NATMI,CellChat
HGF_ITGB1,TGFB2_TGFBR2,WNT11_SFRP1,BTLA_VTCN1,SIGLEC1_SPN
HGF_SDC2,TGFB2_TGFBR3,XCR1_XCL1,C1QA_CD33,TIGIT_PVR
HGF_SDC1,TGFB3_ACVRL1,OPRL1_PNOC,C1QA_CD93,
HGF_ST14,TGFB3_ENG,C5AR1_RPS19,C1QA_CSPG4,
LAMB1_ITGB1,TGFB3_TGFBR1,SELP_CD34,C1QB_CD33,
LAMB1_ITGAV,TGFB3_TGFBR2,EPOR_KITLG,C1QB_LRP1,
LAMB1_ITGA7,TGFB3_TGFBR3,TF_TFR2,C3_C3AR1,
LAMB1_ITGA6,VEGFA_EGFR,PTHLH_PTH2R,C3_C5AR2,
LAMB1_ITGA1,VEGFA_EPHB2,GH1_GHR,C3_CD19,
LAMB1_ITGA2,VEGFA_FLT1,NTN1_UNC5B,C3_CD46,
LAMB1_ITGA3,VEGFA_GPC1,PTGER3_GHRL,C3_CR1,
LAMB1_ITGB4,VEGFA_ITGA9,WNT5A_SFRP1,C3_CR2,
WNT16_FZD6,VEGFA_ITGAV,WNT4_SFRP4,C3_ITGAM,
NAMPT_ADORA2A,VEGFA_ITGB1,NRP2_VEGFA,C3_ITGAX,
PON2_HTR2A,VEGFA_KDR,IL24_ESR2,C3_ITGB2,
NPVF_NPFFR1,VEGFA_NRP1,TNFRSF13B_TNFSF13B,C3_LRP1,
NPVF_NPFFR2,VEGFA_NRP2,EGFR_EPGN,C3_NRP1,
PDAP1_PDGFRB,VEGFA_RET,ERBB3_BTC,C4A_C3AR1,
SERPINE1_ITGB5,VEGFA_SIRPA,EGFR_TGFA,C4A_C5AR2,
SERPINE1_LRP2,VEGFA_TYRO3,ERBB3_NRG1,C4A_CR1,
SERPINE1_LRP1,VEGFB_FLT1,EGFR_CNTF,C4A_NRP1,
SERPINE1_ITGAV,VEGFB_NRP1,ADCYAP1_VIPR1,C4B_CD46,
SERPINE1_PLAUR,VEGFB_RET,CXCL3_CXCR2,C4B_CR1,
C5_ADRA2A,VEGFB_TYRO3,CD1D_LILRB2,C4BPA_BMPR2,
C5_MTNR1A,VEGFC_FLT1,FLT1_PGF,C4BPA_CD40,
C5_GRM7,VEGFC_FLT4,FLT1_VEGFB,C4BPA_LRP1,
C5_C5AR2,VEGFC_ITGA9,ADRB2_VEGFB,C5_C5AR1,
C5_C5AR1,VEGFC_ITGB1,WNT11_SFRP4,C5_C5AR2,
TNFSF8_TNFRSF8,VEGFC_KDR,WNT9A_SFRP4,CADM1_CADM1,
RLN1_RXFP2,VEGFC_LYVE1,WNT7A_SFRP4,CADM1_CADM3,
RLN1_RXFP1,VEGFC_NRP2,PTN_ALK,CADM1_CRTAM,
CSF3_CSF1R,VEGFC_VIPR2,MDK_PTPRZ1,CADM3_CADM1,
CSF3_CSF3R,A2M_LRP1,LIFR_LIF,CADM3_CADM3,
WNT3_LRP6,ADAM10_AXL,EFNA1_EPHA3,CALCA_CALCR,
WNT3_RYK,ADAM10_EPHA3,EFNA2_EPHA3,CALCA_CALCRL,
WNT3_ROR2,ADAM12_ITGA9,EFNA1_EPHA1,CALCA_RAMP1,
WNT3_FZD1,ADAM12_ITGB1,FGFR2_PTPRR,CALCA_RAMP2,
WNT3_FZD7,ADAM12_SDC4,FGFR2_CD83,CALCB_CALCR,
WNT3_FZD8,ADAM15_ITGA5,FGFR2_FGF9,CALCB_CALCRL,
WNT3_FZD5,ADAM15_ITGA9,WNT7B_SFRP4,CALCB_RAMP1,
CCL2_CCR2,ADAM15_ITGAV,EFNA4_EPHA4,CALR_ITGA3,
CCL2_CCR4,ADAM15_ITGB1,CCR8_CCL18,CALR_ITGAV,
CCL2_ACKR2,ADAM17_ERBB4,FPR2_CCL23,CALR_LRP1,
CCL2_CCR1,ADAM17_ITGA5,CCR2_CCL26,CALR_SCARF1,
CCL2_CCR5,ADAM17_ITGB1,CCR3_CCL28,CALR_TSHR,
CCL2_CCR10,ADAM17_NOTCH1,CCR3_CCL13,CAMP_FPR2,
CCL2_CCR3,ADAM23_ITGA5,CCR3_CCL7,CCK_CCKAR,
CCL2_ACKR4,ADAM28_ITGA4,PLXNB2_SEMA4C,CCK_CCKBR,
CCL1_CCR8,ADAM9_ITGA3,EFNA2_EPHA4,CCL1_CCR8,
CCL13_CCR2,ADAM9_ITGA6,TNFSF18_TNFRSF18,CCL11_ACKR2,
CCL13_ACKR2,ADAM9_ITGAV,SFRP4_WNT5B,CCL11_ACKR4,
CCL13_CCR1,ADAM9_ITGB1,SFRP2_WNT5B,CCL11_CCR2,
